dataset,model,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_auc,std_auc
Adult Census Income,RandomForest,0.8347410876602493,0.0047929645581301595,0.7036902247769043,0.0076806397765038425,0.9137725779303768,0.0034170992016797417
Adult Census Income,DecisionTree,0.8139801430969096,0.0047780111569099264,0.6728125671215206,0.004597571629783546,0.8340136796003588,0.0018157160379476266
Adult Census Income,KNN,0.8419274897568311,0.0029107319593205407,0.6479774936642112,0.005913087845536736,0.8927908089389944,0.007131238733519597
Bank Marketing,RandomForest,0.8428599518143456,0.006760576183478562,0.8405236118058884,0.007369055886525894,0.9126268227681391,0.0025968106848231697
Bank Marketing,DecisionTree,0.7941235411480128,0.005216971217775671,0.785554307497393,0.005429179399725684,0.8494966443213908,0.0034118607561396154
Bank Marketing,KNN,0.8047836139882859,0.0036207782983266024,0.783334943073349,0.0037158972681272484,0.8857071123612235,0.005083271991096044
